,年,順位,球団,勝,防御率,打率,本塁打,盗塁,得点,失点,犠打,犠打率,QS率,得点圏,UC打率,代打率,失策,打点,安打数,単打,2塁打,3塁打,出塁率,長打率,OPS,得点圏打数,得点圏安打,得点圏打率,UC打数,UC安打,UC率,UC本塁打,試合数,打席数,打数,四球,死球,企盗塁,盗塁成功率,企犠打,犠打成功率,犠飛,代打数,代打安打,併殺,三振,先発防御率,救援防御率,S,奪三振,投球回,奪三振率,投球数,打者数,被安打,被本塁打,与四球,与死球,敬遠,自責点,完投,完封,無四球,被打率,援護点,援護率,WHIP,UC被安打,UC被打率,UC被本塁打,平均動員数
2016_4,2016,4,阪神,64,3.38,0.245,90,59,506,546,88,77.19,60.84,0.249,0.237,0.197,97,475,1171,860,204,17,0.312,0.351,0.662,1118,278,0.249,2193,519,0.237,32,143,5401,4789,435,51,84,0.702,114,0.772,38,300,59,99,1149,3.43,3.29,31,1166,1274 2/3,0.1,21781,5436,1139,100,483,41,15,479,8,5,0,0.233,380,3.73,1.27,525,0.25,41,40994
2016_5,2016,5,ヤクルト,64,4.73,0.256,113,82,594,694,85,77.98,41.26,0.263,0.261,0.25,59,565,1234,891,210,20,0.331,0.378,0.709,1296,341,0.263,2010,525,0.261,56,143,5509,4828,524,39,105,0.781,109,0.78,33,248,62,117,907,4.96,4.34,31,872,1260 2/3,0.08,21392,5541,1333,147,457,75,19,663,7,2,3,0.267,399,4.18,1.42,529,0.284,51,25063
2016_6,2016,6,中日,58,3.65,0.245,89,60,500,573,108,78.26,51.75,0.239,0.237,0.235,65,473,1180,861,209,21,0.309,0.353,0.662,1170,280,0.239,2259,535,0.237,37,143,5405,4813,410,46,88,0.682,138,0.783,28,260,61,103,1001,3.95,3.04,25,980,1281 1/3,0.08,21783,5468,1222,115,464,48,5,519,8,2,2,0.247,339,3.39,1.32,598,0.26,50,28991
2017_1,2017,1,広島,88,3.39,0.273,152,112,736,540,116,80.0,58.04,0.297,0.261,0.26,68,705,1329,917,237,23,0.345,0.424,0.769,1325,393,0.297,2150,562,0.261,63,143,5592,4872,511,49,152,0.737,145,0.8,44,258,67,95,1114,3.71,2.77,36,1035,1290 2/3,0.09,21580,5446,1182,92,473,26,3,486,4,2,1,0.239,528,5.24,1.28,544,0.246,40,30670
2017_2,2017,2,阪神,78,3.3,0.249,113,70,589,528,113,80.14,47.55,0.248,0.246,0.223,82,559,1195,851,213,18,0.327,0.371,0.698,1264,313,0.248,2104,518,0.246,47,143,5520,4807,531,43,98,0.714,141,0.801,26,287,64,97,1008,3.66,2.68,38,1223,1285 2/3,0.11,21489,5446,1178,92,445,62,3,472,4,1,0,0.239,430,4.01,1.26,536,0.248,34,42148
2017_3,2017,3,ＤｅＮＡ,73,3.81,0.252,134,39,597,598,84,82.35,49.65,0.272,0.255,0.156,66,571,1230,837,245,14,0.311,0.391,0.702,1133,308,0.272,2116,540,0.255,64,143,5402,4872,378,46,57,0.684,102,0.824,22,231,36,101,1091,3.76,3.92,35,1117,1286,0.1,21984,5482,1202,128,478,45,14,545,5,3,0,0.243,446,4.54,1.31,524,0.247,54,27880
2017_4,2017,4,巨人,72,3.32,0.249,113,56,536,504,87,79.82,58.74,0.266,0.239,0.238,68,519,1190,839,223,15,0.318,0.373,0.691,1157,308,0.266,2213,528,0.239,53,143,5384,4775,452,43,78,0.718,109,0.798,27,256,61,129,1006,3.26,3.42,31,1083,1276,0.09,20823,5312,1182,116,358,50,5,470,9,6,4,0.241,394,3.85,1.21,498,0.244,57,41675
2017_5,2017,5,中日,59,4.06,0.247,111,77,487,623,115,83.33,50.35,0.237,0.254,0.245,56,451,1183,859,190,23,0.3,0.365,0.666,1080,256,0.237,2216,563,0.254,43,143,5306,4794,320,56,117,0.658,138,0.833,21,306,75,86,1103,4.1,3.99,37,949,1281,0.08,21781,5498,1231,127,491,65,4,578,6,2,0,0.249,344,3.43,1.34,565,0.233,57,27927
2017_6,2017,6,ヤクルト,45,4.23,0.234,95,50,473,653,109,81.95,48.95,0.226,0.224,0.187,84,449,1108,828,166,19,0.306,0.338,0.644,1113,252,0.226,2284,511,0.224,48,143,5358,4728,454,44,76,0.658,133,0.82,20,267,50,116,1013,4.16,4.35,18,1011,1261,0.09,21350,5435,1271,157,417,45,14,592,6,2,1,0.256,327,3.33,1.34,551,0.266,66,25871
2018_1,2018,1,広島,82,4.12,0.262,175,95,721,651,109,79.56,45.45,0.256,0.254,0.222,83,697,1275,839,227,34,0.349,0.431,0.78,1357,347,0.256,1995,507,0.254,70,143,5663,4858,599,63,140,0.679,137,0.796,34,239,53,85,1143,4.26,3.87,38,1041,1282,0.09,22471,5592,1267,138,510,37,25,587,3,0,2,0.252,522,5.35,1.39,520,0.264,44,31001
2018_2,2018,2,ヤクルト,75,4.13,0.266,135,68,658,665,109,81.34,40.56,0.272,0.27,0.219,88,632,1287,915,220,17,0.347,0.402,0.749,1274,347,0.272,2096,565,0.27,59,143,5582,4836,561,50,95,0.716,134,0.813,26,279,61,112,931,4.32,3.84,40,1018,1274 1/3,0.09,21681,5540,1286,143,440,53,24,585,4,2,2,0.256,405,4.45,1.35,561,0.267,57,27152
2018_3,2018,3,巨人,67,3.79,0.257,152,61,625,575,96,71.64,50.35,0.271,0.248,0.197,65,606,1255,863,223,17,0.325,0.403,0.728,1203,326,0.271,1952,484,0.248,57,143,5486,4878,465,32,83,0.735,134,0.716,15,259,51,100,1120,3.63,4.12,25,1040,1279,0.09,21082,5421,1246,144,385,51,21,538,21,13,5,0.251,455,4.38,1.28,495,0.253,55,41699
2018_4,2018,4,ＤｅＮＡ,67,4.18,0.25,181,71,572,642,71,79.78,31.47,0.247,0.248,0.221,68,554,1209,788,227,13,0.307,0.415,0.722,1079,267,0.247,2050,508,0.248,78,143,5344,4837,363,49,107,0.664,89,0.798,24,276,61,91,1041,4.3,4.01,38,1163,1269,0.1,21899,5490,1264,149,433,46,56,590,2,1,0,0.255,335,3.77,1.34,527,0.259,63,28166
